с/т 69426|11.189 6723 ['сфæлынддзысты', 'дегустацимæ",', 'эстерсунды', 'постытӕ.', 'историимӕ"', 'раздæхтысты', 'сталинградаг,', 'ахастыл', 'бӕстыхӕйттӕн', 'хæстимæ']
ц/т 483|0.078 51 ['бӕллицтӕн', 'тæлмацтæ.', 'бæллицты', 'хуыбецты', 'архивкъацты', 'бӕллицтӕ.', 'егоры.facebookкоцты', 'уацтæ,', 'бæлицтæй', 'бӕллицтимӕ']
л/к 478|0.077 111 ['"росалкогольрегулирование"-йы', 'алкæцыйы', 'алкоголон', 'волк', 'дзæгъæлкомы', 'алкæцы', 'фыдызгъæлкуыстгæнæн', 'мигалкæтимæ', 'алкӕмӕ', 'алкæцымæ']
й/л 472|0.076 81 ['трейлер.', 'къамцхинвайлаг', 'айляраты', 'трейлер', 'фæйлаудзæн', 'цхинвайлӕгтӕй', 'уизнейлы', 'цхинвайлагимæ,', 'лукойл,', 'территорийл.']
с/д 471|0.076 74 ['хъусдард",', 'цъусдӕр', 'æнæнхъусдард', 'хъусдардӕн.', 'хъусдардæй.', 'хъусдардӕн', 'æнæхъусдардæй', 'хъусдард.хуссар', 'фӕдырысдӕр', 'сдæн']
в/н 469|0.076 151 ['деревня"-йы', 'ӕрӕвнӕлдтой,', 'бавналдзысты,', 'аивнывгӕнӕг,', 'æрæвнæлдой', 'чиновник', 'ӕрӕвнӕлдой', 'ӕрывналдзыстӕм', 'ӕрӕвналдзӕн', 'ӕрӕвнӕлдта,']
м/х/м 468|0.075 22 ['мхм.', 'broadcasterмхм-ы', 'мхм-æн', 'мхм-йы', 'мхм-ыл', 'мхм-ы.', '"мхм-ы', 'мхм-мæ', 'мхм', 'мхм-ӕн']
с/т/м 460|0.074 128 ['сфыстмӕ', 'хъӕстмӕ', 'ӕрбаластмӕ,', 'æркастмæ', 'куыстмæ".', 'рафыстмӕ', 'постмæ",', 'хæстмӕ,', 'шорт-листмæ', 'куыстмыздимӕ,']
в/гъ 455|0.073 39 ['ивгъуыды', 'ивгъуыд.', 'дзывгъисы', 'аивгъуыдтой.', 'ивгъуыдимæ', 'æвгъæддон', '"ивгъуыд', 'бавгъау', 'ивгъуыд,', 'уæривгъуыд']
с/т/дз 452|0.073 77 ['рæстдзинад",', 'видеоконференцбастдзинады', 'интернет-бастдзинадæй.', 'бастдзинадыл', 'бастдзинадæн".', 'æнæхсæстдзинад', 'бастдзинæдтæй.', 'бастдзинадимæ', 'архæстдзинад.', 'бастдзинадыл,']
м/дз 449|0.072 134 ['номдзыд,', 'бурсамдзелы', 'ӕмдзӕрӕндон,', 'бауромдзысты",', 'æмдзæвгæты,', 'къухӕмдзӕгъд', 'æмдзæвгæйыл', '‘мдзӕвгӕтимӕ', 'раргомдзинады', 'къухӕмдзӕгъд,']
ф/р 436|0.07 140 ['фрескӕйон', 'цифрӕ', 'испайнаг-французаг', 'франц,', 'цифрæтæ', 'французаг', 'фронттыл', "д'онофрио,", 'фразеологизмтӕй', 'хуссар–африкайнаг']
к/с/п 426|0.069 136 ['эксперт', 'эксперттӕн,', 'экспортмæ', 'экспонаты', '"эксперимент",', 'экспертизӕмӕ', 'экспедициты', 'экспортон', '"дорэкспострой"-имæ,', 'экспозици",']
н/б 423|0.068 143 ['зианбаййафджытæ', 'екатеринбургы', 'цӕрӕнбынаты', 'донбыл', 'чанбайы', 'ардзинбайы', 'гуырӕнбоныл', 'донбылмӕ', 'донбассы.', 'зианбаййафӕджы,']
гъ/г 415|0.067 28 ['зӕгъгæйæ,', '"зӕгъгӕ', 'дзомагъгоммæ.', 'зӕгъгӕйӕ', 'зӕгъгӕ.', 'зæгъгæ,"сæвзæргæ', 'зæгъгæ,кæд', 415, 'дзомагъгомырдæм,', 'зӕгъгӕ",']
н/д/м 415|0.067 74 ['æрбакондмæ', 'фæндмæ', 'бармындмæ', 'скондмæ",', 'секундмæ.', 'фӕзындмӕ",', 'ӕмбырдгондмӕ",', 'фыдракæндмæ', 'бӕрзӕндмӕ",', 'раундмæ']
н/к/т 406|0.065 71 ['пункт,', 'санкт-петербургæй,', 'конъюнктурон', 'пунктæн', 'пунктыл.', 'танктæ,', 'санкт', 'санкт-петербургмæ",', 'фыранктæ', 'царнаевтанктæ']
г/л 404|0.065 56 ['регламентацийы', 'регламентон.', 'дериглазова.', '"глок-17"', 'регламент,', 'регламентон', '(кусогльу)', 404, '"глок"-ы', 'гловацкий.']
н/д/г 387|0.062 33 ['зындгонддæр.', 387, 'зындгодн', 'зындгонддӕр', '"зындгонд', 'зындгонддæр', 'фыдвæндгæнджыты', 'зындгонд', '"цхинвал"-ӕй.зындгонд', 'кæна.зындгонд']
г/к 386|0.062 74 ['тугкалд.', 'чиныгкӕсджытӕ', 386, 'ӕртагкӕнӕн', 'ӕрдӕгкалд', 'цъугкиты', '(гогкинаты)', '"хетӕгкаты', 'цалцӕгкӕнӕн', 'фыццагкурсоны']
м/п/л 378|0.061 71 ['комплекс",', 'комплекстæ', 'экземплярæй,', '"усю-имплекс', 'экземпляртӕй.', 'комплексæй', 'комплексон', 'комплексæн', '"комплексон', 'комплексмæ']
х/с/дж 361|0.058 42 ['ахсджиаг".', 'миææхсджытæй', 'ракетӕӕхсджытӕ', 'ахсджиагдӕрыл', 'уӕхсджытыл,', 'ахсджийаг', 'мотоӕхсджыты', 'ахсджиагдзинады', 'минӕӕхсджытӕ', '′уæхсджытыл,']
м/б/л 361|0.058 30 ['алфæмблайы', 'ансамбль",', 'ансамбль', 'алфамблай', 'ансамблимæ",', 'ассамблейы', 'эмблемæимæ,', 'ансамбльмӕ.', '"ансамблы', 'алфӕмблайӕн']
к/т/р 360|0.058 86 ['актрисæйы', 'гидроэлектростанц', 'электроифтонгадæй', 'спектрыл.', 'электрохызæгыл,', '"электроэнерги', 'электростанц', 'электроэнергийӕ', 'электрохæххытæ', 'электроифтонгад']
н/з 358|0.058 100 ['"аланзонынады"', 'цензӕн.', 'бензинӕн', 'бронзӕ"', 'бронзæйæ', 'скæсæнзонынады', 'фæлмæнзæрдæ.', 'претензитӕ', 'ценз"-ыл', 'бензиныл']
ц/м 353|0.057 58 ['гуыцмӕзы', 'нымӕцмӕ",', 'уацмыстæй', 'уацмыстӕ,', 'уацмыстыл.', 'уацмыстӕм', 'нымæцмæ', 'нымӕцмӕ,', 'уацмыстыл', '"гуыцмæзты']
н/г/хъ 351|0.057 54 ['ӕнӕмӕнгхъӕуӕг,', 'ӕнӕмӕнгхъӕуындзинадыл.', 'æнæмæнгхъæуӕгдзинад.', 'æнæмæнгхъæуæгыл', 'æнæмæнгхъæуæгдзинады', 'æнæмæнгхъæуæгдзинад,', 'æнæмæнгхъæуæг', 'æнæмæнгхъæуæуг', 'æнæмæнгхъæуӕг', 'æнæмæнгхъæуæг",']
н/с/п 345|0.056 75 ['инспекторæй', '"фæндагон-транспортон', 'конспекттæ.', 'инспектор,', 'инспекцийы', 'автотранспортон', 'инспектортӕн', 'транспаранттæ', 'бронетранспортертӕ', 'транспортыл']
с/т/б 337|0.054 63 ['æххæстбарты', 'ӕххӕстбарджыны', 'ӕххӕстбартӕ', 'æххæстбартæ,', 'куыстбынæттæ', 'ӕххӕстбарджынтӕ', 'ӕххӕстбарджынтӕм.', '"ӕххæстбæрцæй', 'ӕххӕстбарты', 'куыстбынæттæй']
й/т/т 333|0.054 126 ['бæстыхæйтты,', 'интернет-сайттæ', 'тæргæйтты', 'дæлхæйттæй', 'сайтты', "'мбæйтты,", 'хæйттыл', 'ӕмкъӕйттӕн', 'хæйттыл,', 'бӕстыхӕйттӕн']
р/ч 333|0.054 61 ['влодарчикимæ.', 'захарченко,', 'карчиаты', 'кварчияйы', 'парчы.', 'кварчия.', 'влодарчикы.', 'къерчы,', 'захарченко', 'багианзахарченко:']
м/н 320|0.052 95 ['гимназии', 'колумнистикӕйы', 'гимназимӕ', 'гимнасткӕтӕ,', 'прогимназии', 'дмитрий.паломники', 'гимнасткæты', '"зимняя', 'гимнастикæйы', 'ӕмнысаныл.']
м/т/т 316|0.051 59 ['нӕмттӕ",', 'кӕмттӕ', 'нӕмттӕн.', 'цæсгæмттæ"-йы', 'нæмттæн.', 'нæмттæ",', 'нӕмттӕй', 'хъæдгæмттæ', 'цæсгæмтты', 'нæмттимæ.']
н/х 315|0.051 71 ['донхæрæн', 'кузьминхуссарирыстойнаг', 'ӕхсӕнхицауадон', 'багианхуссарирыстойнаг', 'арӕнхахъхъӕнджытӕ', 'минхун,', 'регионхуыгаты', 'зианхӕсджытӕ', 'алпаткинхуссар', 'æхсӕнхицауадон']
м/д 314|0.051 84 ['комдарӕны",', 'асламдӕр.', 'æргомдæр', 'æмдыхæй,', 'комдарӕнмӕ', 'симдӕй,', 'æмдугонты', 'фенгомдæр.', 'хæстхъомдæр', 'æнгæмæй-æнгомдæр']
г/дж 307|0.049 55 ['æфтиагджын', 'æмсæрнысаниуæгджын",', 'фӕстиуӕгджын.', 'социалон-нысаниуæгджын', 'вазыгджын"', 'социалон-нысаниуӕгджын', 'сыгъдæгджиуæрджийы', 'фӕвазыгджындӕр', '"нысаниуæгджын', 'фæсиуæгджын']
х/дз 305|0.049 128 ['къахдзӕфтӕ.', 'раздӕхдзӕн', 'къахдзӕфыл,', 'цухдзинады', 'аздахдзæн', 'дихдзинадмӕ",', 'къахдзӕфты",', 'аздахдзысты.', 'альпинисттæ-къахдзоныгъджынты', 'раздахдзысты']
гъ/з 304|0.049 42 ['сыгъзӕрин"', 'сыгъзӕринӕй', 'сӕргӕхц-магъзы', '«сыгъзӕрин', 'сыгъзæрин,æртæ', 'сыгъзӕрин', 'лæгъзæй.', '"сыгъзæрин', 'сыгъзæринтæ,', 'сæргæхц-магъзы']
с/т/к 298|0.048 103 ['гимнасткӕтӕ,', 'туристкӕйы.', 'гимнасткæты', 'ӕххӕстком', 'каратисткæ', 'пианисткӕ', 'гимнасткӕтӕн', 'барасткӕнинӕгтӕ', 'гимнасткæйы', 'волейболисткæтыл']
н/д/д 290|0.047 30 ['зындгонддæр.', 'фӕбӕрзонддӕр', 'зындгонддӕр', 'ӕбӕрзонддӕр', 'ӕмбӕрстгонддӕр', 'фенддаг', 290, 'зындгонддæр', 'бæрзонддæр.', 'зӕронддӕр']
р/д/дз 288|0.046 68 ['фӕлтӕрддзинад.', 'цырддзастдзинад.', 'дӕрддзæф.', 'фӕлтдӕрддзинадыл', 'ӕнкъарддзинад', 'дзырддзæугæ', 'айгӕрддзӕн', 'дæрддзæфтæй', 'дӕрддзӕф,', 'хъайтарддзинад,']
в/дж 286|0.046 97 ['æрцахстуæвджыты', 'фӕцӕфуӕвджыты', 'ʻвджид.', 'æрӕмбырдуӕвджытӕ', 'давджытӕн', 'æрмбырдуæвджытæ', 'æрымбырдуӕвджытӕ', 'ахстуӕвджыты",', 'ӕрымбырдуӕвджытӕн', 'æрæмбырдуæвджытæн.']
л/гъ 282|0.045 58 ['рафæлгъауын,', '"ӕлгъаг"', 'фӕлгъауӕны.', 'рафӕлгъаудтой', 'æлгъыст', 'фӕлгъауынмӕ,', 'рафæлгъаудзыстӕм.', 'рафæлгъауой', 'развӕлгъау.', 'рафæлгъаудзысты,']
з/гъ 276|0.044 94 ['æрызгъоры', 'фыдызгъæлкуыстгæнæн', 'згъӕрӕхцаты', 'азгъордзӕн', 'атозгъорд', 'фыдызгъæл', 'тезгъогæнæн', 'сызгъæрин', 'згъорӕг', 'згъæрæхцаты']
ж/н 275|0.044 37 ['"бумажные', 'таможнæйы', 'ножницы"-йы', 'рожновы', 'таможнӕйон', 'таможнæты', 275, 'горовыхтаможнæ', 'мурӕт.таможнӕйон', '"южная']
с/т/дж 272|0.044 46 ['ӕнтыстджынӕй', 'ӕнтыстджындӕр,', 'ӕнтыстджынæй', 'ӕнтыстджындӕрӕй.', 'ӕнтыстджындӕртыл,', 'ӕнтыстджындæр', 272, 'æнтыстджынæй",', '"æнтыстджын"', 'ӕнтыстджын,']
р/з/дж 268|0.043 46 ['уарзджытæм', 'спортуарзджынӕ', 'бӕгӕныуарзджытӕ', 'театруарзджытӕн', 'спортуарзджыты', 'уарзджытӕ', 268, 'аивадуарзджытӕй', 'аивадуарзджытӕм', 'аиваруарзджыты']
й/дж 265|0.043 65 ['архайджытæ:', 'хайджын', 'архайджытӕн', 'архайджытыл,', 'æмархайджыты.', 'архайджыты,', 265, 'фæхайджын', 'ӕмархайджытӕ', 'азербайджан,']
д/н 263|0.042 105 ['"ледниковый', 'фыднад.', '"поднос"', 'раднаев.', 'народной', '"россотрудничество"-йӕн', 'россотрудничество.', 'приднестровьяхуссар', 'одна', 'фыднады']
к/г 263|0.042 45 ['96кг)', '(78кг).', 'кг-ы', '(84кг),', 263, '(120кг).', '74кг).', '(74кг),', '"фӕныкгуыз".', 'кг).']
ш/т 257|0.041 79 ['штабмæ', 'хештег', 'будапешт', 'штурм.', '(штат', 'штатæн', 'штурмы,', 'штаттӕ.', 'кыштымы,', 'штаб,']
р/з/т 253|0.041 94 ['æхсæнгæрзтæй', 'гӕрзтӕ', 'æмбæрзт,', 'хӕцӕнгӕрзты', 'бауарзтой",', 'бауарзтон,', 'гӕрзтӕй,', 'уарзтæй.', 'аивӕрзтысты', 'бауарзта,']
ц/к 252|0.041 56 ['шабацкаг-', '"донецкаг', '"высоцкий', 'высоцкийӕн', 'сендецкий.', 'горгоцкий.', 'пацкевич,', 'плотницкийы', 'кострубицкийимæ', 'гловацкий.']
н/къ 250|0.04 142 ['зӕххӕнкъуыст,', '"зонкъары', 'ӕнкъарынц', 'æнкъард', 'фенкъарынц', 'банкъарæм', 'æнкъарæн', 'центрæвзарæнкъамы', 'æнкъары', 'фенкъарӕм']
р/д/м 250|0.04 83 ['"уагæвæрдмæ', 'миллиардмæ', 'хъусдардмӕ', 'хæрдмæцыды', 'хӕрдмӕ', 'бадзырдмæ.', 'бадзырдмӕ,', 'хӕслӕвӕрдмӕ', 'сӕрдмӕ.', 'агуырдмӕ,']
м/р 247|0.04 42 ['ӕмрæнхъ', 'ӕмрӕстӕджы.', 'камри"-йы', '—умрешь"', 'ӕмрӕстӕг', 'æмрæнхъ', 'æмрæнхъ",-', 'æмрæстæджы,', 'ӕмрӕстӕджы', 'æмрæстæджы']
н/цъ 245|0.039 29 ['"ӕхсынцъыйӕ', 'ӕлхынцъонӕй', 'балхынцъ,', 'ӕхсынцъыйы', 'хъынцъымгæнæг', 'хъынцъым', 'балхынцъ.', 'бырынцъаг', 'ӕлхынцъон.', 'тæнцъар']
в/с/к 242|0.039 87 ['"склифосовский"-йы', 'комаровскийы', '"александровский', 'яновская:', 'венявскийхуссар', 'узловскы', 'яновская.къӕвда', 'корченевский,', 'горбовской', '"станиславскийы']
к/в 241|0.039 109 ['ликвидацийы', 'ӕнӕадекватон', 'аквапарчы', 'тхэквондойы', 'квотатæм', 'эквадорӕй.', 'кв', 'аквапарчыфæмард,', 'квадроциклтыл,', 'квалификации']
т/н 238|0.038 101 ['–этнографион', 'этнос.', 'фитнес', 'этнос', 'фитнес-тренер', '"спутник".', 'фитнесæй', 'этникон', '"этностиль"', '"югосетнефтепродукт"-']
з/в 231|0.037 45 ['развæдгæнджытæ', '"развитие",', 'первозванный', '"звезда"-йы', 'развӕлгъау.', '"развӕлгъау', '"звезда', 'развæлгъау', 'звезды', '"зверополис".']
й/б 230|0.037 45 ['хайбарвæрды', 'уыйбæрц', 'волейболæй,', 'хайбавӕрдыл', 'хайбавӕрд",', 'волейболӕй', 'хайбавӕрдмӕ', 'адлейба.', 'хайбавӕрдимӕ', 'волейболисткæтæ.']
ф/ц 230|0.037 23 ['уфц-йы', 'профцæдистимæ', 'цæдисы(уфц)', '"бæрзæфцæг', 'æфцæгмæ', '"бæрзæфцæг"', 'ӕфцӕгыл.', 'профцæдистæ', 'æфцæгыл,', 'æфцæгыл']
д/дж 228|0.037 64 ['гъӕдджынӕй.', 'кадджын', 'гъӕдджынӕйдӕр', 'кадджыты".', 'адджинæгтæ",', 'адджындæр",', 'адджинæгтæ', 'кадджындæр.', 'гъæдджындæр', 'аудджыты']
м/с 227|0.037 67 ['æмсæрнысаниуæгджын",', 'лӕгӕмсӕр', '"комсомольской', '"ирагропромсервис"', 'гумсӕгыл', 'æмсæрдæрттæ', 'ӕмсӕр,', '"мамсырайы', 'ӕмсӕрдӕрттӕ,', 'комсомолы']
в/дз 219|0.035 62 ['аивдзысты.facebookбоксер', 'срæвдз', 'рæвдз', 'пятаковдзæуджыхъæуы', 'фӕивдзӕн,', 'бандавдзыстӕм', 'фæивдзæн.', 'аивдзысты', 'чалабовдзауы', 'раивдзæн".']
н/с/т/р 210|0.034 77 ['инструктортæ', 'инструменттӕй', 'конструкцитӕ",', 'реконструкци,', 'конструктивон', 'вокалон-инструменталон', 'инструкцитӕ.', 'инструктаж', 'реконструкцийæн,', 'инструкторӕй']
н/т/м 203|0.033 41 ['президентмӕ",', 'фронтмæ,', 'парламентмæ.', 'бынтмæ', 'парламентмæ', 'фронтмæ', 'фронтмӕ,', '"президентмæ', 'монументмӕ,', 'чемпионтмæ']
т/д 202|0.033 52 ['дзуарӕфытд', 'ситдиковгазпром', '"алыхатдæр', 'ситдиковсанаты', 'ӕппӕтдунейон', 'æппæтдæр', 'æдæппæтдунейон', 'алыхатдæр', '"алыхатдӕр', 'ситдиковгуырдзыстонӕй']
ш/в 202|0.033 96 ['гиунашвилийӕн,', 'саакашвили', 'гиунашвилийы', 'закареишвили', 'дотиашвили', 'татунашвили,', 'хизанишвилигуырдзыстон', 'хубулашвилийы",', '"гиунашвили', 'кристесиашвили']
п/к/к/з 202|0.033 2 [202, 'пккз']
дз/дз 197|0.032 54 ['‘руадздзысты,', 'рауадздзыстӕм.', 'сӕндидздзӕн', 'ныууадздзысты.', 'ныууадздзæн', 'ауадздзысты', 'ныдздзæхст', 'сӕндидздзӕн,', 'ныссадздзысты', 'суадздзæн.']
п/т 196|0.032 96 ['эпилептолог', 'этаптыл,', 'скульптортӕ,', 'скульпторы', 'оптотаджы', 'скульптурæтæ', 'скульптортӕ', 'этапты', 'скульптор,', 'этаптæ']
с/хъ 192|0.031 29 ['схъæлæс', 'схъӕлӕс', '′схъӕр', 'расхъиуа', 'схъæлæскæнджыты', 'схъомылгӕнджытӕн,', 'схъистӕ,', 'схъæлæскæныны', 'схъомыл,', 'сусхъæдтæ']
р/ц/ц 192|0.031 28 ['æппæрццаг', 'æвæрццагæрдæм', 'ӕппӕрццагыл.', 'ӕвæрццаг', 'ӕвӕрццагӕй",', 'ӕвӕрццаг,', 'æппæрццагæй', 'ӕппӕрццагӕй', 'къæрцц.', 'æвæрццагæй.']
с/т/п/р 188|0.03 41 ['"инвестпрограммӕйы', 'инвестпроекттӕм', '"инвестпрограммæйы', 'инвестпроект', 'ковалевинвестпрограммӕ,', 'инвестпрограммӕ,', 'инвестпрограммæмæ.', 'постпредства', 'инвестпрограммӕмæ.', 'инвестпрограммамæ.']
с/тъ 185|0.03 52 ['стъалы', 'стъалыйыл,', 'естъайы', 'стъалы(рагон', 'стъараполы.', 'стъаврополы', 'стъалытæ,', 'хатт.стъолы', '"монастъеры', 'стъалыимӕ".']
з/б 184|0.03 52 ['хъазбегмӕ', 'дезбарьертӕ.', 'хъазбегæн', 'урузбек.', 'узбекаг', 'хазбулат,', 'хъазбег:', 'визборы', 'хазбийæн.', 'элизбарашвили']
м/к 183|0.029 57 ['"амкар"-ы', 'ӕмкусӕджы.', 'ʻмкусæг', '‘мкар', "'мкусджыты", 'ӕмкусджыты', '‘мкусæджы.', 'химкиты', '"майрӕмкуадзӕн', 'ӕмкусджытӕ-']
ф/х/м 181|0.029 16 ['фхм.', '(фхм),', 'фхм-ы.', 'фхм-мæ.', 'песняфхм-ы', 'фхм-ты', '(фхм).', 'фхм,', 'фхм:', 'фхм-йы']
ф/дж 178|0.029 53 ['кафджыты', 'баййæфджытæй', 'зианбаййафджытæ', 'улæфджытæй', 'улæфджытæ', 'кафджытимæ', 'зианбаййафджытæм', 'улӕфджытӕ', '"кафджытӕ', 'улӕфджытӕм']
д/в 177|0.029 61 ['людвиджы', 'удварны', 'медведев,', 'адвокатимæ', 'медведевмæ', 'людвиг', 'богодвидгазы', 'адвокаттӕ', '"адвентисты', 'медведы']
й/х 177|0.029 88 ['хъӕбысӕйхӕцӕджы",', 'хъæбысæйхæцæг.', 'хъӕбысӕйхӕцӕджы.', 'райхалӕн', 'венявскийхуссар', 'хъӕбысӕйхӕцӕгӕй', 'хъæбысæйхæцджыты', 'никольскийхаджимба:', 'хъӕбысӕйхӕцджытӕй', 'архивӕйхуссар']
р/т/дз 174|0.028 59 ['цыртдзæвæнты', 'цыртдзӕвӕны.', 'цыртдзæвæныл', 'артдзӕсты.', 'цыртдзæвæны.', 'фæлтæртдзинад', 'цыртдзӕвӕнты', 'цыртдзӕвӕнтӕй', 'цыртдзӕвӕнӕй', 'цыртдзӕвӕнӕн.']
т/к/х 168|0.027 47 ['фæткхæлдмæ', 'фӕткхалдимӕ,', 'фæткхалджытæ.', 'фæткхæлды.', 'фæткхæлдтыты', 'фæткхалджытӕ', 'фæткхалджыты', 'фæткхалӕн', 'фæткхалдыл,', 'фӕткхалджытӕ']
р/гъ/т 164|0.026 59 ['ӕргътимӕ.', 'уаргътæ', 'дыргъты', 'ӕргътӕ.', 'æргътæ",', 'æргътимæ', 'ӕргътæй', 'ӕргътимӕ', 'аргътæ', 'ӕргътыл.']
в/м 159|0.026 82 ['травмӕты', 'вячеславмæ', 'травматологтӕ', 'пневмониимæ.', 'герасимовмæ', '"вместе', 'травмæтæ', 'архивмæ.', 'вместе"-йы', 'уазнывмӕ']
л/хъ 158|0.025 66 ['кæсæг-балхъары', 'зæбулхъус"', 'æлхъывдад', 'ӕлхъывд', 'кӕсӕгбалхъайраг', 'ӕлхъивы', 'уӕлхъус",', 'балхъарæй,', 'кӕсӕг-балхъар"', 'æрæлхъывтой']
п/с 158|0.025 72 ['апсары', 'психологтæ,', 'психо-дзурӕн', 'капсулӕйы",', 'филипс', '"упс..ной', 'туапсе', 'психиатрикон', 'тæрхондонон-психитрикон', 'ауапс']
ц/дж 154|0.025 62 ['хъæбысæйхæцджытæ', 'фарсхӕцджытӕй.', 'хъӕбысӕйхӕцджытӕ', 'фарсхӕцджытӕн.', 'хъӕбысхӕцджытӕ.', 'хъæбысхæцджытæ.', 'ʻвварсхæцджытæм', 'фарсхæцджытæ', 'фасхӕцджыты', 'фарсхæцджытæй']
х/с/т/дз 153|0.025 19 ['арæхстдзинадмæ.', 'арӕхстдзидад', 'арæхстдзинадæй', 153, 'тыхстдзинад,', 'арæхстдзинадæн', 'тыхстдзинад', 'арӕхстдзинад', 'арæхстдзинад', 'арӕхстдзинадмӕ']
т/л 149|0.024 51 ['светлана,', 'биатлонæй', 'атлетикӕйы', 'тли', 'гитлеры', '"цытлæвæрд",', 'ботлунг.', 149, 'атлетикæйæ', 'тлийы']
й/з 149|0.024 64 ['пейзажтæ.', 'байзӕддаг', 'айзӕлд', 'пейзажтæ,', 'фото"айзӕлд"', 'айзӕлыдысты', 'райзæрдæйæ.', 149, '"айзӕлд"-ы.', 'пейзажтæ']
къ/л 147|0.024 43 ['кълæсты', 'кълассӕй', 'къласы', 'къласонтимӕ,', 'къласы,', 'къласты', 147, 'къласгӕс', 'къласимæ', 'мастер-къластæ,']
р/дз/т 144|0.023 29 ['бардзтӕй', 'хæрдзтæй,', 'хӕрдзты', 'хæрдзтæй",', 'хӕрдзтӕн.', 'хæрдзтæй.', 144, 'хæрдзтæй', 'хæрдзты', 'хæрдзтæм']
з/т/м 144|0.023 44 ['рахызтмӕ.', 'райрæзтмæ,', 'хъазтмӕ.цхинвайлаг', 'рӕзтмӕ', 'хъазтмæ', 'рæзтмæ,', 'рæзтмæ",', 144, 'нывæзтмӕ', 'хæрзарæзтмæ.']
м/ц 139|0.022 46 ['æмцæдисон', 139, 'æмцæдисад', 'æмцæдисонтæй', 'ӕмцӕдисады', 'ӕмцӕдисад', 'немцӕгтӕ', 'ӕмцæдисад', 'ӕмцауы', 'къамцæгат']
н/г/г 137|0.022 38 [137, 'ифтонггарзы', 'ифтонггарзимæ",', 'телеифтонггарзтӕн.', 'ифтонггæнæг', 'ифтонггарзæй.', 'ифтонггарзмæ', 'æввонггæнæг', 'ифтонггӕнӕг', 'ифтонггæнджыты']
л/ф 134|0.022 54 ['уæлфысттæ', 'уæлфыстытимæ.', 134, 'алфæмбылай', 'алфæмблайы', 'алфамбылай', 'алфавит', 'агуылф', 'уæлфыстытæ",', 'алфамблай']
й/к 134|0.022 73 ['шайкина', 'байк-шоуйы.', '"чайковскийы', 'байк-шоу,', 134, 'майкæ', 'линейкӕйы', 'фæсбайкалон', 'байконур,', 'фӕсбайкалы']
н/ф/л 132|0.021 23 [132, 'конфликт', 'конфликттӕ', 'конфликт.', 'конфликттæ.', 'конфликттӕ,', 'предмет.конфликты', 'конфликттӕм', 'конфликтæн,', 'инфляцийы']
р/хъ 131|0.021 49 ['ӕрхъавы', 131, 'æрхъавыд,', 'ӕрхъавой', 'ӕрхъулагӕнгӕйӕ', 'ӕнӕрхъуыдыдзинадӕн.', 'тæрхъусты', 'æвирхъау.', 'тæрхъустæ".', '‘нæрхъæцæй']
з/т/т 130|0.021 43 [130, 'нывæзттæ', 'сынгзирвæзтты', 'зынгсирвæзтты', 'зынгсирвæзттæй', 'рацарӕзттыл', 'зынгсирвæзттæ",', 'нывæзттыл', 'зынирвæзтты', 'нывæзттимæ']
н/к/т/т 129|0.021 23 [129, 'пункттыл.', 'пункттæй,', 'пункттæм', 'пункттæ', 'пункттӕ.', 'пункттæ.', 'пункттæй', 'пункттæ",', 'пунктты.']
в/х 126|0.02 46 ['тадтаевхуссар', 'ветровхуссар', 'багаевхалацамæ', 'совхозты', 'тадтаевхуссарирыстойнаг', 'ковалевхуссарирыстойнаг', 'тасоевхуссар', 'царнаевхуссар', 'бибиловхуссарирыстойнаг', 'тадтаевхипу-ы']
т/г 125|0.02 50 ['горæтгæрæтты.', 'дӕтгӕйӕ.', 'хатгай', 'цæгатгæрон', 'æнæбасæтгæ', 'ратгæйæ",', 'ратгӕйӕ.', 'æрвитгæ', 'асфальтгонд', 'дæтгæйæ,']
п/т/р/к 123|0.02 5 ['птрк"алания".', 'ӕптрк-йы', 'птрк', 123, 'ӕптрк.']
р/п 122|0.02 52 ['корпораци"-мӕ', '"парпат"', 'корпус",', 'корпораци"', 'корпусты', 'экстрокорпоралон', 'корпустæ,', '(парпат)', 'карпаталияйы', 'корпус,']
р/т/м 121|0.02 51 ['стартмӕ', 'аэропортмæ', 'экспортмæ', 'мартмæ', 'спортмӕ', 'стартмӕ.', 'концертмӕ', 'цыртмæ,', 'артмæ,', 'концертмæ,']
ф/х 120|0.019 46 ['бафхæрдау",', 'æфхæрæм', 'æфхæрд.', 'ӕфхӕрджытӕ', 'æфхæры', '‘фхӕрӕджы', 'æфхæрд', 'ӕфхӕргӕ', 'æфхæрды', 'æфхæрдæй']
р/с/м 119|0.019 26 ['фæрсæй-фæрсмæ', 'цӕгатварсмӕ', 'спорсменты', 'фарсмæ.', 'фарсмæ",', 'фарсмӕ,', 'курсмæ.', 'фарсмӕ",', 'цыппурсмӕ.', 'конкурсмӕ.']
гъ/д/т 118|0.019 59 ['сыгъдтæ', 'ссыгъдтæ', 'срӕмыгъдтӕй.', 'срæмыгъдтæ', 'сыгъдтæ,', 'хыгъдтæм', 'рауагъдтӕ.', 'рауагъдтæ', 'хыгъдтӕ', 'номхыгъдтӕм']
